Temperature	0.0uM_1	0.0uM_2	
37.683285	0.010577	0.012351
37.702976	0.010675	0.012459
37.722664	0.010774	0.012568
37.74235	0.010874	0.012677
37.76204	0.010974	0.012787
37.781727	0.011075	0.012898
37.80142	0.011176	0.013009
37.821106	0.011278	0.01312
37.840794	0.011381	0.013233
37.86048	0.011484	0.013345
37.88017	0.011587	0.013458
37.89986	0.011692	0.013572
37.919548	0.011796	0.013687
37.939236	0.011902	0.013801
37.958923	0.012007	0.013917
37.97861	0.012114	0.014033
37.998302	0.012221	0.014149
38.01799	0.012328	0.014266
38.037678	0.012436	0.014384
38.057365	0.012545	0.014502
38.077053	0.012654	0.014621
38.09674	0.012764	0.01474
38.116432	0.012874	0.01486
38.13612	0.012985	0.01498
38.155807	0.013097	0.015101
38.175495	0.013209	0.015222
38.195183	0.013321	0.015344
38.214874	0.013434	0.015467
38.234562	0.013548	0.01559
38.25425	0.013662	0.015713
38.273937	0.013776	0.015837
38.293625	0.013892	0.015962
38.313316	0.014008	0.016087
38.333004	0.014124	0.016213
38.35269	0.014241	0.016339
38.37238	0.014358	0.016466
38.392067	0.014476	0.016593
38.411755	0.014594	0.01672
38.431446	0.014713	0.016849
38.451134	0.014833	0.016977
38.47082	0.014953	0.017106
38.49051	0.015074	0.017236
38.510197	0.015195	0.017366
38.52989	0.015317	0.017496
38.549576	0.015439	0.017627
38.569263	0.015562	0.017758
38.58895	0.015685	0.01789
38.60864	0.015809	0.018022
38.62833	0.015933	0.018154
38.648018	0.016058	0.018287
38.667706	0.016184	0.01842
38.687393	0.01631	0.018554
38.70708	0.016437	0.018688
38.72677	0.016564	0.018823
38.74646	0.016692	0.018957
38.766148	0.016821	0.019093
38.785835	0.01695	0.019228
38.805523	0.01708	0.019364
38.82521	0.01721	0.019501
38.844902	0.017341	0.019637
38.86459	0.017473	0.019775
38.884277	0.017605	0.019912
38.903965	0.017738	0.02005
38.923653	0.017871	0.020188
38.943344	0.018006	0.020327
38.96303	0.018141	0.020466
38.98272	0.018276	0.020606
39.002407	0.018413	0.020746
39.022095	0.01855	0.020887
39.041786	0.018687	0.021027
39.061474	0.018826	0.021169
39.08116	0.018965	0.02131
39.10085	0.019104	0.021453
39.120537	0.019245	0.021595
39.140224	0.019386	0.021738
39.159916	0.019528	0.021882
39.179604	0.01967	0.022026
39.19929	0.019814	0.02217
39.21898	0.019958	0.022315
39.238667	0.020102	0.022461
39.258358	0.020248	0.022607
39.278046	0.020394	0.022753
39.297733	0.02054	0.0229
39.31742	0.020688	0.023047
39.33711	0.020836	0.023195
39.3568	0.020985	0.023344
39.376488	0.021134	0.023493
39.396175	0.021284	0.023642
39.415863	0.021435	0.023792
39.43555	0.021587	0.023943
39.45524	0.021739	0.024094
39.47493	0.021891	0.024246
39.494617	0.022045	0.024398
39.514305	0.022198	0.024551
39.533993	0.022353	0.024704
39.55368	0.022508	0.024858
39.57337	0.022664	0.025013
39.59306	0.02282	0.025168
39.612747	0.022977	0.025323
39.632435	0.023134	0.02548
39.652122	0.023292	0.025636
39.671814	0.023451	0.025794
39.6915	0.02361	0.025952
39.71119	0.023769	0.02611
39.730877	0.02393	0.02627
39.750565	0.02409	0.026429
39.770252	0.024252	0.02659
39.789944	0.024414	0.026751
39.80963	0.024576	0.026912
39.82932	0.024739	0.027075
39.849007	0.024903	0.027237
39.868694	0.025066	0.027401
39.888386	0.025231	0.027565
39.908073	0.025396	0.02773
39.92776	0.025562	0.027895
39.94745	0.025728	0.028061
39.967136	0.025895	0.028228
39.986828	0.026062	0.028395
40.006516	0.02623	0.028563
40.026203	0.026398	0.028732
40.04589	0.026567	0.028901
40.06558	0.026736	0.029071
40.08527	0.026906	0.029241
40.104958	0.027077	0.029413
40.124645	0.027248	0.029585
40.144333	0.027419	0.029757
40.16402	0.027591	0.029931
40.18371	0.027764	0.030105
40.2034	0.027937	0.030279
40.223087	0.028111	0.030455
40.242775	0.028286	0.030631
40.262463	0.028461	0.030807
40.28215	0.028636	0.030985
40.30184	0.028812	0.031163
40.32153	0.028989	0.031342
40.341217	0.029167	0.031522
40.360905	0.029344	0.031702
40.380592	0.029523	0.031883
40.400284	0.029702	0.032065
40.41997	0.029882	0.032247
40.43966	0.030062	0.03243
40.459347	0.030244	0.032614
40.479034	0.030425	0.032799
40.498722	0.030608	0.032985
40.518414	0.030791	0.033171
40.5381	0.030974	0.033358
40.55779	0.031159	0.033546
40.577477	0.031344	0.033734
40.597164	0.03153	0.033924
40.616856	0.031716	0.034114
40.636543	0.031904	0.034305
40.65623	0.032092	0.034496
40.67592	0.03228	0.034689
40.695606	0.03247	0.034882
40.715298	0.03266	0.035077
40.734985	0.03285	0.035272
40.754673	0.033042	0.035467
40.77436	0.033234	0.035664
40.79405	0.033427	0.035861
40.813736	0.033621	0.03606
40.833427	0.033815	0.036259
40.853115	0.03401	0.036459
40.872803	0.034205	0.036659
40.89249	0.034402	0.036861
40.912178	0.034599	0.037063
40.93187	0.034797	0.037266
40.951557	0.034995	0.037471
40.971245	0.035194	0.037676
40.990932	0.035394	0.037881
41.01062	0.035595	0.038088
41.03031	0.035796	0.038295
41.05	0.035999	0.038504
41.069687	0.036201	0.038713
41.089375	0.036405	0.038923
41.109062	0.036609	0.039134
41.128754	0.036814	0.039346
41.14844	0.037019	0.039559
41.16813	0.037226	0.039772
41.187817	0.037433	0.039987
41.207504	0.037641	0.040202
41.227192	0.037849	0.040419
41.246883	0.038059	0.040636
41.26657	0.038268	0.040854
41.28626	0.038479	0.041073
41.305946	0.03869	0.041293
41.325634	0.038902	0.041514
41.345325	0.039115	0.041736
41.365013	0.039329	0.041958
41.3847	0.039543	0.042182
41.40439	0.039758	0.042406
41.424076	0.039973	0.042632
41.443768	0.040189	0.042858
41.463455	0.040406	0.043085
41.483143	0.040624	0.043313
41.50283	0.040842	0.043542
41.52252	0.041061	0.043772
41.542206	0.041281	0.044003
41.561897	0.041501	0.044234
41.581585	0.041722	0.044467
41.601273	0.041944	0.0447
